no,pembelian,kategori,tanggal,jumlah,total,tahun,bulan,nama_bulan,hari,hari_dalam_minggu,jam,is_weekend,harga_per_tiket,volume_penjualan,cluster
1,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-05 11:15:00,13,325000,2025,5,May,5,Monday,11,0,25000.0,Tinggi,1
2,TIKET MANCANEGARA,Mancanegara,2025-05-05 10:28:00,1,20000,2025,5,May,5,Monday,10,0,20000.0,Sangat Rendah,1
3,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-05 10:00:00,1,25000,2025,5,May,5,Monday,10,0,25000.0,Sangat Rendah,1
4,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-05 09:57:00,7,175000,2025,5,May,5,Monday,9,0,25000.0,Sedang,1
5,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 11:21:00,4,100000,2025,5,May,4,Sunday,11,1,25000.0,Rendah,0
6,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 11:10:00,7,175000,2025,5,May,4,Sunday,11,1,25000.0,Sedang,0
7,TIKET WISATAWAN UMUM,Umum,2025-05-04 11:10:00,2,30000,2025,5,May,4,Sunday,11,1,15000.0,Sangat Rendah,0
8,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-04 11:10:00,5,50000,2025,5,May,4,Sunday,11,1,10000.0,Rendah,0
9,TIKET WISATAWAN UMUM,Umum,2025-05-04 10:59:00,10,150000,2025,5,May,4,Sunday,10,1,15000.0,Sedang,0
10,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 10:55:00,10,250000,2025,5,May,4,Sunday,10,1,25000.0,Sedang,0
11,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-04 10:31:00,7,70000,2025,5,May,4,Sunday,10,1,10000.0,Sedang,0
12,TIKET MASUK DALEM AGUNG PAKUNGWATI,Umum,2025-05-04 10:31:00,7,70000,2025,5,May,4,Sunday,10,1,10000.0,Sedang,0
13,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-04 10:23:00,4,100000,2025,5,May,4,Sunday,10,1,25000.0,Rendah,0
14,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-04 10:14:00,14,280000,2025,5,May,4,Sunday,10,1,20000.0,Tinggi,0
15,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-04 10:09:00,1,25000,2025,5,May,4,Sunday,10,1,25000.0,Sangat Rendah,0
16,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 10:05:00,5,125000,2025,5,May,4,Sunday,10,1,25000.0,Rendah,0
17,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 09:22:00,2,50000,2025,5,May,4,Sunday,9,1,25000.0,Sangat Rendah,0
18,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-04 09:16:00,2,40000,2025,5,May,4,Sunday,9,1,20000.0,Sangat Rendah,0
19,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 09:05:00,2,50000,2025,5,May,4,Sunday,9,1,25000.0,Sangat Rendah,0
20,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 08:17:00,3,75000,2025,5,May,4,Sunday,8,1,25000.0,Rendah,0
21,TIKET WISATAWAN UMUM,Umum,2025-05-04 07:59:00,3,45000,2025,5,May,4,Sunday,7,1,15000.0,Rendah,0
22,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-04 07:58:00,2,50000,2025,5,May,4,Sunday,7,1,25000.0,Sangat Rendah,0
23,TIKET WISATAWAN UMUM,Umum,2025-05-03 11:08:00,10,150000,2025,5,May,3,Saturday,11,1,15000.0,Sedang,0
24,TIKET MANCANEGARA,Mancanegara,2025-05-03 11:07:00,2,40000,2025,5,May,3,Saturday,11,1,20000.0,Sangat Rendah,0
25,Tiket Masuk Museum Pusaka,Umum,2025-05-03 11:07:00,2,30000,2025,5,May,3,Saturday,11,1,15000.0,Sangat Rendah,0
26,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-03 11:07:00,12,300000,2025,5,May,3,Saturday,11,1,25000.0,Tinggi,0
27,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-03 11:06:00,9,180000,2025,5,May,3,Saturday,11,1,20000.0,Sedang,0
28,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-03 11:06:00,35,700000,2025,5,May,3,Saturday,11,1,20000.0,Tinggi,0
29,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-03 11:05:00,5,50000,2025,5,May,3,Saturday,11,1,10000.0,Rendah,0
30,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-03 11:05:00,15,375000,2025,5,May,3,Saturday,11,1,25000.0,Tinggi,0
31,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-03 11:04:00,8,200000,2025,5,May,3,Saturday,11,1,25000.0,Sedang,0
32,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-03 11:04:00,14,350000,2025,5,May,3,Saturday,11,1,25000.0,Tinggi,0
33,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-03 08:31:00,4,100000,2025,5,May,3,Saturday,8,1,25000.0,Rendah,0
34,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-02 10:51:00,4,100000,2025,5,May,2,Friday,10,0,25000.0,Rendah,1
35,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-02 10:51:00,2,50000,2025,5,May,2,Friday,10,0,25000.0,Sangat Rendah,1
36,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-02 10:46:00,2,20000,2025,5,May,2,Friday,10,0,10000.0,Sangat Rendah,1
37,TIKET MASUK DALEM AGUNG PAKUNGWATI,Umum,2025-05-02 10:46:00,2,20000,2025,5,May,2,Friday,10,0,10000.0,Sangat Rendah,1
38,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-02 10:46:00,3,75000,2025,5,May,2,Friday,10,0,25000.0,Rendah,1
39,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-02 09:32:00,13,325000,2025,5,May,2,Friday,9,0,25000.0,Tinggi,1
40,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-02 09:22:00,3,75000,2025,5,May,2,Friday,9,0,25000.0,Rendah,1
41,TIKET WISATAWAN UMUM,Umum,2025-05-02 08:06:00,2,30000,2025,5,May,2,Friday,8,0,15000.0,Sangat Rendah,1
42,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-01 12:21:00,2,50000,2025,5,May,1,Thursday,12,0,25000.0,Sangat Rendah,1
43,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-01 12:05:00,2,40000,2025,5,May,1,Thursday,12,0,20000.0,Sangat Rendah,1
44,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-01 11:47:00,2,50000,2025,5,May,1,Thursday,11,0,25000.0,Sangat Rendah,1
45,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-01 11:42:00,6,150000,2025,5,May,1,Thursday,11,0,25000.0,Sedang,1
46,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 11:35:00,6,150000,2025,5,May,1,Thursday,11,0,25000.0,Sedang,1
47,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 11:24:00,2,50000,2025,5,May,1,Thursday,11,0,25000.0,Sangat Rendah,1
48,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 11:20:00,4,100000,2025,5,May,1,Thursday,11,0,25000.0,Rendah,1
49,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-01 11:07:00,2,50000,2025,5,May,1,Thursday,11,0,25000.0,Sangat Rendah,1
50,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 10:43:00,8,200000,2025,5,May,1,Thursday,10,0,25000.0,Sedang,1
51,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-01 10:40:00,6,60000,2025,5,May,1,Thursday,10,0,10000.0,Sedang,1
52,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-01 10:40:00,2,50000,2025,5,May,1,Thursday,10,0,25000.0,Sangat Rendah,1
53,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-01 10:35:00,11,275000,2025,5,May,1,Thursday,10,0,25000.0,Tinggi,1
54,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 10:35:00,2,50000,2025,5,May,1,Thursday,10,0,25000.0,Sangat Rendah,1
55,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 10:26:00,5,125000,2025,5,May,1,Thursday,10,0,25000.0,Rendah,1
56,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 10:13:00,16,400000,2025,5,May,1,Thursday,10,0,25000.0,Tinggi,1
57,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 10:05:00,14,350000,2025,5,May,1,Thursday,10,0,25000.0,Tinggi,1
58,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 09:55:00,3,75000,2025,5,May,1,Thursday,9,0,25000.0,Rendah,1
59,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-01 09:48:00,3,60000,2025,5,May,1,Thursday,9,0,20000.0,Rendah,1
60,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-01 09:34:00,2,50000,2025,5,May,1,Thursday,9,0,25000.0,Sangat Rendah,1
61,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 09:30:00,3,75000,2025,5,May,1,Thursday,9,0,25000.0,Rendah,1
62,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-01 09:21:00,1,10000,2025,5,May,1,Thursday,9,0,10000.0,Sangat Rendah,1
63,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-01 09:20:00,1,10000,2025,5,May,1,Thursday,9,0,10000.0,Sangat Rendah,1
64,TERUSAN III ( Free-Pass III ),TERUSAN,2025-05-01 09:08:00,2,50000,2025,5,May,1,Thursday,9,0,25000.0,Sangat Rendah,1
65,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-01 09:06:00,2,20000,2025,5,May,1,Thursday,9,0,10000.0,Sangat Rendah,1
66,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-01 08:53:00,2,40000,2025,5,May,1,Thursday,8,0,20000.0,Sangat Rendah,1
67,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-05-01 08:53:00,1,25000,2025,5,May,1,Thursday,8,0,25000.0,Sangat Rendah,1
68,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-01 08:41:00,8,80000,2025,5,May,1,Thursday,8,0,10000.0,Sedang,1
69,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-01 08:34:00,6,120000,2025,5,May,1,Thursday,8,0,20000.0,Sedang,1
70,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-05-01 08:32:00,2,40000,2025,5,May,1,Thursday,8,0,20000.0,Sangat Rendah,1
71,TIKET PELAJAR & MAHASISWA,Pelajar,2025-05-01 08:24:00,30,300000,2025,5,May,1,Thursday,8,0,10000.0,Tinggi,1
72,TIKET MANCANEGARA,Mancanegara,2025-04-30 15:20:00,1,20000,2025,4,April,30,Wednesday,15,0,20000.0,Sangat Rendah,1
73,Tiket Masuk Museum Pusaka,Umum,2025-04-30 15:20:00,1,15000,2025,4,April,30,Wednesday,15,0,15000.0,Sangat Rendah,1
74,TIKET PELAJAR & MAHASISWA,Pelajar,2025-04-30 15:06:00,15,150000,2025,4,April,30,Wednesday,15,0,10000.0,Tinggi,1
75,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-30 14:48:00,5,125000,2025,4,April,30,Wednesday,14,0,25000.0,Rendah,1
76,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-30 14:14:00,2,50000,2025,4,April,30,Wednesday,14,0,25000.0,Sangat Rendah,1
77,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-30 13:47:00,1,25000,2025,4,April,30,Wednesday,13,0,25000.0,Sangat Rendah,1
78,TIKET PELAJAR & MAHASISWA,Pelajar,2025-04-30 13:42:00,2,20000,2025,4,April,30,Wednesday,13,0,10000.0,Sangat Rendah,1
79,TIKET MANCANEGARA,Mancanegara,2025-04-30 13:19:00,1,20000,2025,4,April,30,Wednesday,13,0,20000.0,Sangat Rendah,1
80,Tiket Masuk Museum Pusaka,Umum,2025-04-30 12:27:00,20,300000,2025,4,April,30,Wednesday,12,0,15000.0,Tinggi,1
81,TIKET MANCANEGARA,Mancanegara,2025-04-30 12:27:00,20,400000,2025,4,April,30,Wednesday,12,0,20000.0,Tinggi,1
82,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-30 12:09:00,2,50000,2025,4,April,30,Wednesday,12,0,25000.0,Sangat Rendah,1
83,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-30 12:05:00,49,980000,2025,4,April,30,Wednesday,12,0,20000.0,Tinggi,1
84,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-30 11:58:00,5,125000,2025,4,April,30,Wednesday,11,0,25000.0,Rendah,1
85,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-30 09:48:00,6,150000,2025,4,April,30,Wednesday,9,0,25000.0,Sedang,1
86,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-30 09:34:00,2,50000,2025,4,April,30,Wednesday,9,0,25000.0,Sangat Rendah,1
87,TIKET MANCANEGARA,Mancanegara,2025-04-30 08:26:00,1,20000,2025,4,April,30,Wednesday,8,0,20000.0,Sangat Rendah,1
88,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-29 14:16:00,4,80000,2025,4,April,29,Tuesday,14,0,20000.0,Rendah,1
89,TIKET WISATAWAN UMUM,Umum,2025-04-29 13:06:00,12,180000,2025,4,April,29,Tuesday,13,0,15000.0,Tinggi,1
90,TIKET PELAJAR & MAHASISWA,Pelajar,2025-04-29 13:06:00,2,20000,2025,4,April,29,Tuesday,13,0,10000.0,Sangat Rendah,1
91,TIKET WISATAWAN UMUM,Umum,2025-04-29 12:55:00,2,30000,2025,4,April,29,Tuesday,12,0,15000.0,Sangat Rendah,1
92,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-29 12:53:00,5,100000,2025,4,April,29,Tuesday,12,0,20000.0,Rendah,1
93,TIKET MANCANEGARA,Mancanegara,2025-04-29 12:23:00,1,20000,2025,4,April,29,Tuesday,12,0,20000.0,Sangat Rendah,1
94,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-29 12:10:00,3,75000,2025,4,April,29,Tuesday,12,0,25000.0,Rendah,1
95,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-29 11:26:00,3,75000,2025,4,April,29,Tuesday,11,0,25000.0,Rendah,1
96,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-29 09:53:00,11,275000,2025,4,April,29,Tuesday,9,0,25000.0,Tinggi,1
97,TIKET PELAJAR & MAHASISWA,Pelajar,2025-04-29 09:52:00,22,220000,2025,4,April,29,Tuesday,9,0,10000.0,Tinggi,1
98,TIKET WISATAWAN UMUM,Umum,2025-04-29 09:52:00,15,225000,2025,4,April,29,Tuesday,9,0,15000.0,Tinggi,1
99,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-29 09:52:00,22,440000,2025,4,April,29,Tuesday,9,0,20000.0,Tinggi,1
100,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-29 08:20:00,1,25000,2025,4,April,29,Tuesday,8,0,25000.0,Sangat Rendah,1
101,TIKET MANCANEGARA,Mancanegara,2025-04-29 08:20:00,1,20000,2025,4,April,29,Tuesday,8,0,20000.0,Sangat Rendah,1
102,Tiket International Satuan ( Single Entry ),Mancanegara,2025-04-29 08:20:00,1,15000,2025,4,April,29,Tuesday,8,0,15000.0,Sangat Rendah,1
103,Tiket Masuk Museum Pusaka,Umum,2025-04-29 08:20:00,1,15000,2025,4,April,29,Tuesday,8,0,15000.0,Sangat Rendah,1
104,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-28 16:29:00,5,125000,2025,4,April,28,Monday,16,0,25000.0,Rendah,1
105,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-28 14:37:00,2,50000,2025,4,April,28,Monday,14,0,25000.0,Sangat Rendah,1
106,TIKET WISATAWAN UMUM,Umum,2025-04-28 12:33:00,4,60000,2025,4,April,28,Monday,12,0,15000.0,Rendah,1
107,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-28 12:09:00,2,40000,2025,4,April,28,Monday,12,0,20000.0,Sangat Rendah,1
108,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-28 11:02:00,2,50000,2025,4,April,28,Monday,11,0,25000.0,Sangat Rendah,1
109,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-28 10:42:00,40,800000,2025,4,April,28,Monday,10,0,20000.0,Tinggi,1
110,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-28 10:10:00,1,20000,2025,4,April,28,Monday,10,0,20000.0,Sangat Rendah,1
111,TIKET WISATAWAN UMUM,Umum,2025-04-28 10:07:00,5,75000,2025,4,April,28,Monday,10,0,15000.0,Rendah,1
112,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-28 10:04:00,4,80000,2025,4,April,28,Monday,10,0,20000.0,Rendah,1
113,TIKET WISATAWAN UMUM,Umum,2025-04-28 09:31:00,3,45000,2025,4,April,28,Monday,9,0,15000.0,Rendah,1
114,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-28 09:24:00,6,120000,2025,4,April,28,Monday,9,0,20000.0,Sedang,1
115,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-28 09:01:00,1,20000,2025,4,April,28,Monday,9,0,20000.0,Sangat Rendah,1
116,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-28 08:58:00,2,50000,2025,4,April,28,Monday,8,0,25000.0,Sangat Rendah,1
117,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-27 08:58:01,182,3577500,2025,4,April,27,Sunday,8,1,19656.593406593405,Sangat Tinggi,2
118,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-26 08:58:02,182,3577500,2025,4,April,26,Saturday,8,1,19656.593406593405,Sangat Tinggi,2
119,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-25 08:58:03,182,3577500,2025,4,April,25,Friday,8,0,19656.593406593405,Sangat Tinggi,2
120,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-24 08:58:04,182,3577500,2025,4,April,24,Thursday,8,0,19656.593406593405,Sangat Tinggi,2
121,TIKET PELAJAR & MAHASISWA,Pelajar,2025-04-23 14:57:00,3,30000,2025,4,April,23,Wednesday,14,0,10000.0,Rendah,1
122,TIKET MASUK DALEM AGUNG PAKUNGWATI,Umum,2025-04-23 14:57:00,3,30000,2025,4,April,23,Wednesday,14,0,10000.0,Rendah,1
123,TIKET WISATAWAN UMUM,Umum,2025-04-23 14:57:00,10,150000,2025,4,April,23,Wednesday,14,0,15000.0,Sedang,1
124,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-23 14:57:00,67,1675000,2025,4,April,23,Wednesday,14,0,25000.0,Sangat Tinggi,2
125,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-23 14:54:00,2,50000,2025,4,April,23,Wednesday,14,0,25000.0,Sangat Rendah,1
126,TIKET WISATAWAN UMUM,Umum,2025-04-23 13:09:00,4,60000,2025,4,April,23,Wednesday,13,0,15000.0,Rendah,1
127,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-23 12:32:00,2,50000,2025,4,April,23,Wednesday,12,0,25000.0,Sangat Rendah,1
128,TIKET MANCANEGARA,Mancanegara,2025-04-23 12:28:00,2,40000,2025,4,April,23,Wednesday,12,0,20000.0,Sangat Rendah,1
129,Tiket Masuk Museum Pusaka,Umum,2025-04-23 12:28:00,2,30000,2025,4,April,23,Wednesday,12,0,15000.0,Sangat Rendah,1
130,TIKET PELAJAR & MAHASISWA,Pelajar,2025-04-23 12:25:00,2,20000,2025,4,April,23,Wednesday,12,0,10000.0,Sangat Rendah,1
131,TIKET MASUK DALEM AGUNG PAKUNGWATI,Umum,2025-04-23 12:25:00,2,20000,2025,4,April,23,Wednesday,12,0,10000.0,Sangat Rendah,1
132,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-23 11:38:00,3,75000,2025,4,April,23,Wednesday,11,0,25000.0,Rendah,1
133,TIKET WISATAWAN UMUM,Umum,2025-04-23 11:35:00,2,30000,2025,4,April,23,Wednesday,11,0,15000.0,Sangat Rendah,1
134,TIKET WISATAWAN UMUM,Umum,2025-04-23 11:28:00,15,225000,2025,4,April,23,Wednesday,11,0,15000.0,Tinggi,1
135,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-23 11:25:00,2,50000,2025,4,April,23,Wednesday,11,0,25000.0,Sangat Rendah,1
136,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-23 10:50:00,2,50000,2025,4,April,23,Wednesday,10,0,25000.0,Sangat Rendah,1
137,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-23 10:40:00,2,40000,2025,4,April,23,Wednesday,10,0,20000.0,Sangat Rendah,1
138,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-23 10:31:00,1,25000,2025,4,April,23,Wednesday,10,0,25000.0,Sangat Rendah,1
139,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-23 10:26:00,2,50000,2025,4,April,23,Wednesday,10,0,25000.0,Sangat Rendah,1
140,TIKET WISATAWAN UMUM,Umum,2025-04-23 10:25:00,3,45000,2025,4,April,23,Wednesday,10,0,15000.0,Rendah,1
141,Tiket Masuk Museum Pusaka,Umum,2025-04-23 10:25:00,1,15000,2025,4,April,23,Wednesday,10,0,15000.0,Sangat Rendah,1
142,TIKET WISATAWAN UMUM,Umum,2025-04-23 11:19:00,3,45000,2025,4,April,23,Wednesday,11,0,15000.0,Rendah,1
143,TIKET MANCANEGARA,Mancanegara,2025-04-23 11:19:00,1,20000,2025,4,April,23,Wednesday,11,0,20000.0,Sangat Rendah,1
144,TIKET MANCANEGARA,Mancanegara,2025-04-23 10:18:00,1,20000,2025,4,April,23,Wednesday,10,0,20000.0,Sangat Rendah,1
145,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-23 10:15:00,8,200000,2025,4,April,23,Wednesday,10,0,25000.0,Sedang,1
146,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-23 09:50:00,87,2175000,2025,4,April,23,Wednesday,9,0,25000.0,Sangat Tinggi,2
147,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-23 09:49:00,2,50000,2025,4,April,23,Wednesday,9,0,25000.0,Sangat Rendah,1
148,Tiket Masuk Museum Pusaka,Umum,2025-04-23 09:34:00,2,30000,2025,4,April,23,Wednesday,9,0,15000.0,Sangat Rendah,1
149,TIKET MANCANEGARA,Mancanegara,2025-04-23 09:34:00,2,40000,2025,4,April,23,Wednesday,9,0,20000.0,Sangat Rendah,1
150,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-23 09:00:00,2,40000,2025,4,April,23,Wednesday,9,0,20000.0,Sangat Rendah,1
151,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-23 08:55:00,2,40000,2025,4,April,23,Wednesday,8,0,20000.0,Sangat Rendah,1
152,TERUSAN III ( Free-Pass III ),TERUSAN,2025-04-23 08:47:00,1,25000,2025,4,April,23,Wednesday,8,0,25000.0,Sangat Rendah,1
153,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-23 08:40:00,8,160000,2025,4,April,23,Wednesday,8,0,20000.0,Sedang,1
154,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-22 15:48:00,15,375000,2025,4,April,22,Tuesday,15,0,25000.0,Tinggi,1
155,"TIKET TERUSAN II (AREA, MUSEUM PUSAKA & DALEM AGUNG PAKUNGWATI)",TERUSAN,2025-04-22 15:44:00,5,125000,2025,4,April,22,Tuesday,15,0,25000.0,Rendah,1
156,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-22 15:33:00,6,120000,2025,4,April,22,Tuesday,15,0,20000.0,Sedang,1
157,TIKET TERUSAN I (AREA & MUSEUM PUSAKA),TERUSAN,2025-04-22 15:07:00,4,80000,2025,4,April,22,Tuesday,15,0,20000.0,Rendah,1
